Format:
Wavelength[nm] , MeanValue[V] , StandardDeviation[%]
Start: 1150, Stop: 350, Interval: 20, Delay: 0.5, Std. Dev. allowed: 5,  Lock-In time constant: 500 ms
1150 , 0.00054244 , 0.792637227154963
1130 , 0.000533 , 1.00546048832636
1110 , 0.00050524 , 1.12254433535119
1090 , 0.00091842 , 0.490764900082061
1070 , 0.00092178 , 0.560227837854221
1050 , 0.0009079 , 0.592920120147326
1030 , 0.00089332 , 0.782390284183331
1010 , 0.00086208 , 0.533714198210012
990 , 0.00084022 , 0.688771126182555
970 , 0.00080412 , 0.653255866007122
950 , 0.00075894 , 0.996533929524644
930 , 0.00070172 , 0.428886833632419
910 , 0.00064582 , 0.359673451658092
890 , 0.00057846 , 0.699919250146361
870 , 0.00052132 , 1.30553160348417
850 , 0.0004749 , 1.33113296330441
830 , 0.00046584 , 0.91232788839008
810 , 0.00047246 , 0.719401043303919
790 , 0.00049364 , 1.2973520358576
770 , 0.00052406 , 1.18590489181815
750 , 0.0005573 , 1.00896977018666
730 , 0.00057944 , 0.718365878996006
710 , 0.00055186 , 0.906613806202361
690 , 0.00052898 , 1.15566402346495
670 , 0.00053648 , 1.06273640337652
650 , 0.00053374 , 1.44087751395152
630 , 0.0005273 , 1.55788789008773
610 , 0.00051604 , 1.48198592335784
590 , 0.000509 , 0.956033403582776
570 , 0.00048786 , 1.32562183288003
550 , 0.00056346 , 1.14314218681408
530 , 0.00053422 , 1.01723980434925
510 , 0.00048212 , 1.03612333963406
490 , 0.0004215 , 1.79798867933582
470 , 0.0003374 , 1.64379663590677
450 , 0.00029676 , 2.13796857033587
430 , 0.00032106 , 1.69824195758566
410 , 0.00027858 , 2.33485148256436
390 , 0.00022924 , 2.9184138440708
370 , 0.000195 , 3.06390408111528
350 , 0.00019796 , 3.22817384256056

